Property Address,Property Name,Building Class,Star Rating,Energy Star,LEED Certified,Building Status,Number Of Units,Style,RBA,Secondary Type,Market Name,Submarket Name,City,State,Zip,County Name,For Sale Price,For Sale Status,Year Built,Year Renovated,Number Of Stories,$Price/Unit,Cap Rate,Vacancy %,Avg Unit SF,Avg Asking/Unit,Avg Asking/SF,Avg Effective/Unit,Avg Effective/SF,Avg Concessions %,% Studios,% 1-Bed,% 2-Bed,% 3-Bed,% 4-Bed,Rent Type,Affordable Type,Market Segment,Parking Spaces/Unit,Number Of Parking Spaces,Days On Market,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,One Bedroom Asking Rent/Bed,One Bedroom Asking Rent/SF,One Bedroom Asking Rent/Unit,One Bedroom Avg SF,One Bedroom Concessions %,One Bedroom Effective Rent/Bed,One Bedroom Effective Rent/SF,One Bedroom Effective Rent/Unit,One Bedroom Vacancy %,One Bedroom Vacant Units,Two Bedroom Asking Rent/Bed,Two Bedroom Asking Rent/SF,Two Bedroom Asking Rent/Unit,Two Bedroom Avg SF,Two Bedroom Concessions %,Two Bedroom Effective Rent/Bed,Two Bedroom Effective Rent/SF,Two Bedroom Effective Rent/Unit,Two Bedroom Vacancy %,Two Bedroom Vacant Units,Three Bedroom Asking Rent/Bed,Three Bedroom Asking Rent/SF,Three Bedroom Asking Rent/Unit,Three Bedroom Avg SF,Three Bedroom Concessions %,Three Bedroom Effective Rent/Bed,Three Bedroom Effective Rent/SF,Three Bedroom Effective Rent/Unit,Three Bedroom Vacancy %,Three Bedroom Vacant Units,Four Bedroom Asking Rent/Bed,Four Bedroom Asking Rent/SF,Four Bedroom Asking Rent/Unit,Four Bedroom Avg SF,Four Bedroom Concessions %,Four Bedroom Effective Rent/Bed,Four Bedroom Effective Rent/SF,Four Bedroom Effective Rent/Unit,Four Bedroom Vacancy %,Four Bedroom Vacant Units,Longitude,Latitude
444 Archer Dr,,B,3,,,Existing,1,,1220,Apartments,North Carolina East,,Rocky Mount,NC,27801-8701,Edgecombe,,N,2006,,,,,1.9,,,,,,0.00,,,,100.00,,Market,,All,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,,,,,,-77.76581,35.92309
3701 Ashbrook Dr NW,Thornberry Park,B,3,,,Existing,264,Garden,406617,Apartments,North Carolina East,Rocky Mount/Wilson,Wilson,NC,27896,Wilson,,N,2007,,3,,,4.2,"1,150.00","1,508",1.31,"1,508",1.31,0.00,,25.00,50.00,25.00,,Market,,All,,,0,66,132,66,,"1,425",1.68,"1,425",850,0.00,"1,425",1.68,"1,425",4.60,3,719,1.25,"1,437",1150,0.00,719,1.25,"1,437",4.60,6,577,1.19,"1,731",1450,0.00,577,1.19,"1,731",4.60,3,,,,,,,,,,,-77.9648753,35.7492553
717 Branch St,,B,2,,,Existing,9,Low-Rise,6732,Apartments,North Carolina East,,Rocky Mount,NC,27801-5620,Edgecombe,,N,1980,,1,,,1.9,,,,,,0.00,,66.67,,33.33,,Market,,All,,,0,6,,3,,,,,,,,,,0.00,0,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,,,,,,-77.7920077,35.9329209
3802-3818 Chase Rd,Chase Park Apartments,B,3,,,Existing,71,Garden,91235,Apartments,North Carolina East,Rocky Mount/Wilson,Wilson,NC,27896,Wilson,,N,1992,,2,,,0.2,"1,000.00",683,0.68,681,0.68,0.30,,,100.00,,,Market,,All,,,0,,71,,,,,,,,,,,,,342,0.68,683,1000,0.30,341,0.68,681,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.9574561,35.7627002
3800 Cornerstone Ct,Cornerstone Apartments,B,3,,,Existing,24,Low-Rise,30000,Apartments,North Carolina East,,Rocky Mount,NC,27804-3120,Nash,,N,,,2,,,,"1,027.00",858,0.84,856,0.83,0.30,,,100.00,,,Market,,All,,,0,,24,,,,,,,,,,,,,429,0.84,858,1027,0.30,428,0.83,856,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.8633998,35.9644211
1025 Deerchase Dr,Hunter Hill,B,3,,,Existing,64,Garden,76800,Apartments,North Carolina East,Rocky Mount/Wilson,Rocky Mount,NC,27804-6442,Nash,,N,,,1,,,0.1,928.00,937,1.01,937,1.01,0.00,,31.25,46.88,21.88,,Market,,All,,,0,20,30,14,,846,1.15,846,738,0.00,846,1.15,846,0.00,0,473,1.02,946,926,0.00,473,1.02,946,0.00,0,349,0.87,"1,047",1203,0.00,349,0.87,"1,047",0.00,0,,,,,,,,,,,-77.83219,35.9829533
401-419 Exchange Ln,,B,3,,,Existing,9,Low-Rise,3280,Apartments,North Carolina East,,Sharpsburg,NC,27878,Nash,,N,1986,2006,1,,,1.9,820.00,488,0.60,486,0.59,0.40,,,100.00,,,Market,,All,,,0,,9,,,,,,,,,,,,,244,0.60,488,820,0.40,243,0.59,486,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.833371,35.868813
2443 Hurt Dr,Hampton Village,B,3,,,Existing,274,Garden,204130,Apartments,North Carolina East,Rocky Mount/Wilson,Rocky Mount,NC,27804-7976,Nash,,N,1997,2001,2,,,0.1,722.00,716,0.99,714,0.99,0.30,,50.36,49.64,,,Market,,All,0.97,267,0,138,136,,,643,1.04,643,617,0.30,641,1.04,641,0.00,0,395,0.95,790,828,0.30,394,0.95,788,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.8357466,35.9855758
184 Loch Ct,,B,2,,,Existing,8,,7000,Apartments,North Carolina East,,Rocky Mount,NC,27804-9182,Nash,,N,2005,,,,,1.9,,,,,,0.00,,50.00,12.50,37.50,,Market,,All,,,0,4,1,3,,,,,,,,,,0.00,0,,,,,,,,,0.00,0,,,,,,,,,0.00,0,,,,,,,,,,,-77.8329946,35.9874261
3761 Raleigh Road Pky W,Evolve at Heritage,A,4,,,Existing,144,Garden,100000,Apartments,North Carolina East,Rocky Mount/Wilson,Wilson,NC,27896,Wilson,,N,2021,,3,,,0.2,"1,074.00","1,320",1.23,"1,312",1.22,0.60,,34.03,50.69,15.28,,Market,,All,,,0,49,73,22,,"1,125",1.38,"1,125",818,0.60,"1,118",1.37,"1,118",0.00,0,688,1.17,"1,375",1176,0.60,683,1.16,"1,366",0.00,0,525,1.20,"1,575",1308,0.60,522,1.20,"1,565",0.00,0,,,,,,,,,,,-77.9711067,35.7490613
