Property Address,Property Name,Building Class,Star Rating,Energy Star,LEED Certified,Building Status,Number Of Units,Style,RBA,Secondary Type,Market Name,Submarket Name,City,State,Zip,County Name,For Sale Price,For Sale Status,Year Built,Year Renovated,Number Of Stories,$Price/Unit,Cap Rate,Vacancy %,Avg Unit SF,Avg Asking/Unit,Avg Asking/SF,Avg Effective/Unit,Avg Effective/SF,Avg Concessions %,% Studios,% 1-Bed,% 2-Bed,% 3-Bed,% 4-Bed,Rent Type,Affordable Type,Market Segment,Parking Spaces/Unit,Number Of Parking Spaces,Days On Market,Number Of 1 Bedrooms Units,Number Of 2 Bedrooms Units,Number Of 3 Bedrooms Units,Number Of 4 Bedrooms Units,One Bedroom Asking Rent/Bed,One Bedroom Asking Rent/SF,One Bedroom Asking Rent/Unit,One Bedroom Avg SF,One Bedroom Concessions %,One Bedroom Effective Rent/Bed,One Bedroom Effective Rent/SF,One Bedroom Effective Rent/Unit,One Bedroom Vacancy %,One Bedroom Vacant Units,Two Bedroom Asking Rent/Bed,Two Bedroom Asking Rent/SF,Two Bedroom Asking Rent/Unit,Two Bedroom Avg SF,Two Bedroom Concessions %,Two Bedroom Effective Rent/Bed,Two Bedroom Effective Rent/SF,Two Bedroom Effective Rent/Unit,Two Bedroom Vacancy %,Two Bedroom Vacant Units,Three Bedroom Asking Rent/Bed,Three Bedroom Asking Rent/SF,Three Bedroom Asking Rent/Unit,Three Bedroom Avg SF,Three Bedroom Concessions %,Three Bedroom Effective Rent/Bed,Three Bedroom Effective Rent/SF,Three Bedroom Effective Rent/Unit,Three Bedroom Vacancy %,Three Bedroom Vacant Units,Four Bedroom Asking Rent/Bed,Four Bedroom Asking Rent/SF,Four Bedroom Asking Rent/Unit,Four Bedroom Avg SF,Four Bedroom Concessions %,Four Bedroom Effective Rent/Bed,Four Bedroom Effective Rent/SF,Four Bedroom Effective Rent/Unit,Four Bedroom Vacancy %,Four Bedroom Vacant Units,Longitude,Latitude
444 Archer Dr,,B,3,,,Existing,1,,1220,Apartments,North Carolina East,,Rocky Mount,NC,27801-8701,Edgecombe,,N,2006,,,,,1.9,,,,,,0.00,,,,100.00,,Market,,All,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,,,,,,-77.76581,35.92309
3701 Ashbrook Dr NW,Thornberry Park,B,3,,,Existing,264,Garden,406617,Apartments,North Carolina East,Rocky Mount/Wilson,Wilson,NC,27896,Wilson,,N,2007,,3,,,4.2,"1,150.00","1,508",1.31,"1,508",1.31,0.00,,25.00,50.00,25.00,,Market,,All,,,0,66,132,66,,"1,425",1.68,"1,425",850,0.00,"1,425",1.68,"1,425",4.60,3,719,1.25,"1,437",1150,0.00,719,1.25,"1,437",4.60,6,577,1.19,"1,731",1450,0.00,577,1.19,"1,731",4.60,3,,,,,,,,,,,-77.9648753,35.7492553
1703-1707 Augusta Cir SE,,C,2,,,Existing,10,Garden,8160,Apartments,North Carolina East,,Wilson,NC,27893-6474,Wilson,,N,1987,,1,,,,816.00,390,0.48,389,0.48,0.20,,,100.00,,,Market,,All,,,0,,10,,,,,,,,,,,,,195,0.48,390,816,0.20,194,0.48,389,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.896381,35.70574
1845 Boone St,,C,2,,,Existing,6,Low-Rise,2964,Apartments,North Carolina East,,Rocky Mount,NC,27803-4306,Nash,,N,1950,,2,,,1.9,494.00,258,0.52,257,0.52,0.40,,100.00,,,,Market,,All,2.67,16,0,6,,,,258,0.52,258,494,0.40,257,0.52,257,0.00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.8109383,35.9198997
717 Branch St,,B,2,,,Existing,9,Low-Rise,6732,Apartments,North Carolina East,,Rocky Mount,NC,27801-5620,Edgecombe,,N,1980,,1,,,1.9,,,,,,0.00,,66.67,,33.33,,Market,,All,,,0,6,,3,,,,,,,,,,0.00,0,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,,,,,,-77.7920077,35.9329209
1817 Butterfield Ln SE,Gee Corbett Village Apartments,C,2,,,Existing,35,Garden,18235,Apartments,North Carolina East,Rocky Mount/Wilson,Wilson,NC,27893,Wilson,,N,1983,1997,1,,,0.1,,,,,,0.00,,,,,,Market,,All,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.8866943,35.7100404
507 Bynum St N,,C,2,,,Existing,1,,1200,Apartments,North Carolina East,,Wilson,NC,27893-2574,Wilson,,N,1948,,,,,3.2,,,,,,0.00,,,100.00,,,Market,,All,,,0,,1,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.913169,35.738653
421 Cascade Ave,,C,2,,,Existing,8,Low-Rise,5832,Apartments,North Carolina East,,Rocky Mount,NC,27803,Nash,,N,1977,,1,,,1.9,730.00,,,,,0.00,,,100.00,,,Market,,All,1.38,11,0,,8,,,,,,,,,,,,,,,,730,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.81276,35.924844
500 Cascade Ave,,C,2,,,Existing,8,Low-Rise,6216,Apartments,North Carolina East,,Rocky Mount,NC,27803,Nash,,N,1986,,2,,,1.9,,,,,,0.00,,,100.00,,,Market,,All,,,0,,8,,,,,,,,,,,,,,,,,,,,,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.813208,35.9258645
3802-3818 Chase Rd,Chase Park Apartments,B,3,,,Existing,71,Garden,91235,Apartments,North Carolina East,Rocky Mount/Wilson,Wilson,NC,27896,Wilson,,N,1992,,2,,,0.2,"1,000.00",683,0.68,681,0.68,0.30,,,100.00,,,Market,,All,,,0,,71,,,,,,,,,,,,,342,0.68,683,1000,0.30,341,0.68,681,0.00,0,,,,,,,,,,,,,,,,,,,,,-77.9574561,35.7627002
