Class,  Period,Inventory Bldgs,Inventory Units,Inventory Avg SF,Asking Rent Per Unit,Asking Rent Per SF,Asking Rent % Growth/Yr,Effective Rent Per Unit,Effective Rent Per SF,Effective Rent % Growth/Yr,Effective Rent Concessions %,Vacancy Units,Vacancy Percent,Vacancy % Growth/Yr,Occupancy Units,Occupancy Percent,Occupancy % Growth/Yr,Absorption Units,Absorption Percent,Under Construction Bldgs,Under Construction Units,Under Construction Percent,Deliveries Bldgs,Deliveries Units,Deliveries Percent
C,2022 Q1 QTD,52 ,"1,276 ",881 ,$686 ,$0.77 ,9.0% ,$682 ,$0.77 ,8.7% ,0.5% ,62 ,4.9% ,1.5% ,"1,214.0 ",95.1% ,-1.5%,2 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2021 Q4,52 ,"1,276 ",881 ,$673 ,$0.76 ,7.7% ,$670 ,$0.76 ,7.3% ,0.5% ,64 ,5.0% ,1.9% ,"1,212.0 ",95.0% ,-1.9%,17 ,1.3% ,0 ,0 ,0.0% ,1 ,22 ,1.7% 
C,2021 Q3,51 ,"1,254 ",881 ,$654 ,$0.74 ,4.8% ,$651 ,$0.73 ,4.6% ,0.5% ,59 ,4.7% ,1.4% ,"1,195.0 ",95.3% ,-1.4%,(2),-0.2%,1 ,22 ,1.8% ,0 ,0 ,0.0% 
C,2021 Q2,51 ,"1,254 ",881 ,$638 ,$0.72 ,2.4% ,$635 ,$0.72 ,2.4% ,0.5% ,57 ,4.5% ,0.8% ,"1,197.0 ",95.5% ,-0.8%,(12),-1.0%,1 ,22 ,1.8% ,0 ,0 ,0.0% 
C,2021 Q1,51 ,"1,254 ",881 ,$632 ,$0.71 ,1.7% ,$630 ,$0.71 ,1.8% ,0.3% ,45 ,3.6% ,-0.4%,"1,209.0 ",96.4% ,0.4% ,(6),-0.5%,1 ,22 ,1.8% ,0 ,0 ,0.0% 
C,2020 Q4,51 ,"1,254 ",881 ,$626 ,$0.71 ,1.0% ,$624 ,$0.70 ,1.2% ,0.2% ,39 ,3.1% ,-1.4%,"1,215.0 ",96.9% ,1.4% ,2 ,0.2% ,1 ,22 ,1.8% ,0 ,0 ,0.0% 
C,2020 Q3,51 ,"1,254 ",881 ,$624 ,$0.70 ,1.0% ,$622 ,$0.70 ,1.3% ,0.3% ,41 ,3.3% ,-1.6%,"1,213.0 ",96.7% ,1.6% ,6 ,0.5% ,1 ,22 ,1.8% ,0 ,0 ,0.0% 
C,2020 Q2,51 ,"1,254 ",881 ,$623 ,$0.70 ,1.3% ,$620 ,$0.70 ,1.4% ,0.5% ,47 ,3.7% ,-1.4%,"1,207.0 ",96.3% ,1.4% ,3 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2020 Q1,51 ,"1,254 ",881 ,$621 ,$0.70 ,1.5% ,$619 ,$0.70 ,1.6% ,0.4% ,50 ,4.0% ,-1.3%,"1,204.0 ",96.0% ,1.3% ,6 ,0.5% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2019 Q4,51 ,"1,254 ",881 ,$620 ,$0.70 ,2.1% ,$617 ,$0.70 ,2.2% ,0.5% ,56 ,4.5% ,-1.1%,"1,198.0 ",95.5% ,1.1% ,5 ,0.4% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2019 Q3,51 ,"1,254 ",881 ,$618 ,$0.70 ,3.0% ,$614 ,$0.69 ,3.1% ,0.6% ,61 ,4.9% ,-1.0%,"1,193.0 ",95.1% ,1.0% ,4 ,0.3% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2019 Q2,51 ,"1,254 ",881 ,$615 ,$0.69 ,3.8% ,$612 ,$0.69 ,3.9% ,0.6% ,65 ,5.2% ,-1.0%,"1,189.0 ",94.8% ,1.0% ,2 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2019 Q1,51 ,"1,254 ",881 ,$613 ,$0.69 ,4.8% ,$609 ,$0.69 ,4.8% ,0.6% ,67 ,5.3% ,-0.9%,"1,187.0 ",94.7% ,0.9% ,3 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2018 Q4,51 ,"1,254 ",881 ,$607 ,$0.68 ,4.8% ,$603 ,$0.68 ,4.8% ,0.6% ,70 ,5.6% ,-0.7%,"1,184.0 ",94.4% ,0.7% ,4 ,0.3% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2018 Q3,51 ,"1,254 ",881 ,$600 ,$0.68 ,4.5% ,$596 ,$0.67 ,4.5% ,0.6% ,74 ,5.9% ,-0.7%,"1,180.0 ",94.1% ,0.7% ,4 ,0.3% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2018 Q2,51 ,"1,254 ",881 ,$593 ,$0.67 ,4.3% ,$589 ,$0.66 ,4.3% ,0.7% ,77 ,6.2% ,0.2% ,"1,177.0 ",93.8% ,-0.2%,1 ,0.1% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2018 Q1,51 ,"1,254 ",881 ,$585 ,$0.66 ,3.9% ,$581 ,$0.66 ,3.8% ,0.7% ,78 ,6.2% ,0.4% ,"1,176.0 ",93.8% ,-0.4%,1 ,0.1% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2017 Q4,51 ,"1,254 ",881 ,$579 ,$0.65 ,3.7% ,$575 ,$0.65 ,3.7% ,0.7% ,79 ,6.3% ,0.5% ,"1,175.0 ",93.7% ,-0.5%,4 ,0.3% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2017 Q3,51 ,"1,254 ",881 ,$574 ,$0.65 ,3.7% ,$570 ,$0.64 ,3.7% ,0.7% ,83 ,6.6% ,0.8% ,"1,171.0 ",93.4% ,-0.8%,(8),-0.6%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2017 Q2,51 ,"1,254 ",881 ,$569 ,$0.64 ,3.7% ,$565 ,$0.64 ,3.7% ,0.6% ,75 ,6.0% ,0.2% ,"1,179.0 ",94.0% ,-0.2%,(1),-0.1%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2017 Q1,51 ,"1,254 ",881 ,$563 ,$0.63 ,3.7% ,$560 ,$0.63 ,4.2% ,0.6% ,73 ,5.8% ,0.0% ,"1,181.0 ",94.2% ,0.0% ,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2016 Q4,51 ,"1,254 ",881 ,$558 ,$0.63 ,3.8% ,$555 ,$0.63 ,3.9% ,0.6% ,73 ,5.8% ,-0.1%,"1,181.0 ",94.2% ,0.1% ,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2016 Q3,51 ,"1,254 ",881 ,$553 ,$0.62 ,3.5% ,$550 ,$0.62 ,3.5% ,0.6% ,73 ,5.8% ,-0.2%,"1,181.0 ",94.2% ,0.2% ,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2016 Q2,51 ,"1,254 ",881 ,$548 ,$0.62 ,3.0% ,$545 ,$0.61 ,3.0% ,0.6% ,73 ,5.8% ,-0.4%,"1,181.0 ",94.2% ,0.4% ,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2016 Q1,51 ,"1,254 ",881 ,$543 ,$0.61 ,2.4% ,$537 ,$0.61 ,2.0% ,1.0% ,73 ,5.8% ,-0.6%,"1,181.0 ",94.2% ,0.6% ,1 ,0.1% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2015 Q4,51 ,"1,254 ",881 ,$538 ,$0.61 ,1.6% ,$534 ,$0.60 ,1.6% ,0.6% ,74 ,5.9% ,-0.2%,"1,180.0 ",94.1% ,0.2% ,1 ,0.1% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2015 Q3,51 ,"1,254 ",881 ,$535 ,$0.60 ,1.4% ,$531 ,$0.60 ,1.4% ,0.6% ,76 ,6.0% ,0.0% ,"1,178.0 ",94.0% ,0.0% ,2 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2015 Q2,51 ,"1,254 ",881 ,$532 ,$0.60 ,1.3% ,$529 ,$0.60 ,1.3% ,0.6% ,78 ,6.2% ,0.2% ,"1,176.0 ",93.8% ,-0.2%,2 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2015 Q1,51 ,"1,254 ",881 ,$530 ,$0.60 ,1.4% ,$527 ,$0.59 ,1.3% ,0.7% ,80 ,6.4% ,0.4% ,"1,174.0 ",93.6% ,-0.4%,(3),-0.2%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2014 Q4,51 ,"1,254 ",881 ,$529 ,$0.60 ,1.4% ,$526 ,$0.59 ,1.4% ,0.6% ,77 ,6.1% ,-0.1%,"1,177.0 ",93.9% ,0.1% ,(1),-0.1%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2014 Q3,51 ,"1,254 ",881 ,$527 ,$0.59 ,1.3% ,$524 ,$0.59 ,1.3% ,0.6% ,76 ,6.1% ,-0.4%,"1,178.0 ",93.9% ,0.4% ,(1),-0.1%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2014 Q2,51 ,"1,254 ",881 ,$525 ,$0.59 ,0.7% ,$522 ,$0.59 ,0.8% ,0.6% ,75 ,6.0% ,-0.9%,"1,179.0 ",94.0% ,0.9% ,0 ,0.0% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2014 Q1,51 ,"1,254 ",881 ,$523 ,$0.59 ,0.5% ,$520 ,$0.59 ,0.6% ,0.6% ,75 ,6.0% ,-0.8%,"1,179.0 ",94.0% ,0.8% ,3 ,0.2% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2013 Q4,51 ,"1,254 ",881 ,$522 ,$0.59 ,0.3% ,$519 ,$0.58 ,0.4% ,0.6% ,78 ,6.2% ,-0.9%,"1,176.0 ",93.8% ,0.9% ,4 ,0.3% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2013 Q3,51 ,"1,254 ",881 ,$521 ,$0.59 ,0.5% ,$517 ,$0.58 ,0.6% ,0.7% ,82 ,6.5% ,-0.7%,"1,172.0 ",93.5% ,0.7% ,5 ,0.4% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2013 Q2,51 ,"1,254 ",881 ,$522 ,$0.59 ,1.6% ,$518 ,$0.58 ,1.6% ,0.7% ,86 ,6.9% ,-0.4%,"1,168.0 ",93.1% ,0.4% ,(1),-0.1%,0 ,0 ,0.0% ,0 ,0 ,0.0% 
C,2013 Q1,51 ,"1,254 ",881 ,$520 ,$0.59 ,1.6% ,$517 ,$0.58 ,1.7% ,0.7% ,85 ,6.8% ,-0.8%,"1,169.0 ",93.2% ,0.8% ,4 ,0.3% ,0 ,0 ,0.0% ,0 ,0 ,0.0% 
