Variable,Wilson- Market Rate Residential,"Wilson City, NC","Wilson County, NC",North Carolina
2026 Total Population,"190,494","51,776","86,400","11,430,355"
2026 Household Population,"187,157","50,296","84,860","11,153,723"
2021 Total Population,"186,869","50,807","84,582","10,822,111"
2021 Household Population,"183,532","49,328","83,042","10,545,479"
2021 Family Population,"149,602","39,051","67,471","8,465,940"
2021 Population Density (Pop per Square Mile),235.3,"1,632.9",229.7,222.6
2010-2021 Population: Compound Annual Growth Rate,0.33%,0.28%,0.36%,1.13%
2026 Group Quarters Population,"3,337","1,480","1,540","276,632"
2026 Family Population,"152,236","39,715","68,790","8,929,391"
2026 Population Density (Pop per Square Mile),239.9,"1,664.1",234.7,235.1
2021-2026 Population: Compound Annual Growth Rate,0.38%,0.38%,0.43%,1.10%
"2021 Household Income less than $15,000","13,914","4,945","7,465","460,216"
"2021 Household Income $15,000-$24,999","8,989","2,587","4,156","407,168"
"2021 Household Income $25,000-$34,999","7,310","1,922","3,139","408,592"
"2021 Household Income $35,000-$49,999","10,075","2,851","4,518","584,337"
"2021 Household Income $50,000-$74,999","12,637","2,635","4,356","764,416"
"2021 Household Income $75,000-$99,999","7,119","1,577","2,967","540,361"
"2021 Household Income $100,000-$149,999","9,426","2,346","4,254","590,459"
"2021 Household Income $150,000-$199,999","2,577",882,"1,529","238,007"
"2021 Household Income $200,000 or greater","1,503",503,895,"257,437"
2021 Median Household Income,"$43,671","$37,708","$40,118","$56,585"
2021 Average Household Income,"$59,699","$57,404","$60,579","$80,263"
2021 Per Capita Income,"$23,574","$23,059","$23,905","$31,659"
2021 Aggregate Income,"$4,405,241,626","$1,171,565,869","$2,021,903,691","$342,620,760,434"
2021 Aggregate Household Income,"$4,390,864,194","$1,162,313,899","$2,016,000,746","$341,196,915,757"
2021 Households by Income Base,"73,550","20,248","33,279","4,250,993"
"2026 Household Income less than $15,000","12,631","4,668","6,892","413,416"
"2026 Household Income $15,000-$24,999","8,302","2,438","3,943","375,529"
"2026 Household Income $25,000-$34,999","6,793","1,747","2,921","384,167"
"2026 Household Income $35,000-$49,999","9,919","3,006","4,558","574,069"
"2026 Household Income $50,000-$74,999","13,110","2,792","4,399","801,604"
"2026 Household Income $75,000-$99,999","7,866","1,696","3,259","604,382"
"2026 Household Income $100,000-$149,999","11,229","2,617","4,991","715,150"
"2026 Household Income $150,000-$199,999","3,351","1,109","1,993","312,419"
"2026 Household Income $200,000 or greater","1,764",561,"1,038","312,395"
2026 Median Household Income,"$49,672","$41,100","$44,670","$63,294"
2026 Average Household Income,"$67,373","$63,752","$68,446","$90,683"
2026 Per Capita Income,"$26,589","$25,592","$26,998","$35,772"
2026 Aggregate Income,"$5,064,961,016","$1,325,040,639","$2,332,654,373","$408,890,303,215"
2026 Aggregate Household Income,"$5,050,583,584","$1,315,456,251","$2,326,751,428","$407,452,443,641"
2026 Households by Income Base,"74,965","20,634","33,994","4,493,131"
2021 Average Household Income: HHr Age 15-24,"$36,210","$34,760","$35,275","$44,224"
2021 Average Household Income: HHr Age 25-34,"$58,276","$54,585","$57,534","$74,204"
2021 Average Household Income: HHr Age 35-44,"$69,619","$62,800","$70,806","$92,882"
2021 Average Household Income: HHr Age 45-54,"$69,924","$68,516","$71,679","$97,817"
2021 Average Household Income: HHr Age 55-64,"$62,621","$60,828","$63,790","$87,439"
2021 Average Household Income: HHr Age 65-74,"$55,755","$57,405","$57,523","$73,690"
2021 Average Household Income: HHr Age 75+,"$42,432","$42,933","$43,011","$53,881"
"2021 Household Income < $15,000/Householder Age 15-24",794,317,413,"39,940"
"2021 Household Income $15,000-$24,999/Householder Age 15-24",382,134,186,"25,102"
"2021 Household Income $25,000-$34,999/Householder Age 15-24",246,81,120,"25,791"
"2021 Household Income $35,000-$49,999/Householder Age 15-24",365,160,203,"33,539"
"2021 Household Income $50,000-$74,999/Householder Age 15-24",417,120,169,"34,492"
"2021 Household Income $75,000-$99,999/Householder Age 15-24",124,38,57,"14,875"
"2021 Household Income $100,000-$149,999/Householder Age 15-24",96,31,45,"9,406"
"2021 Household Income $150,000-$199,999/Householder Age 15-24",14,6,8,"1,751"
