state,puma12,county,stab,cntyname,PUMAname,pop16,afact
State code,PUMA (2012),County code,State abbreviation,County name,PUMA12 name,Population (2016 est.),puma12 to county allocation factor
37,00100,37009,NC,Ashe NC,"Boone High Country--Watauga, Ashe, Yancey, Avery & Mitchell Counties",26924,0.2053
37,00100,37011,NC,Avery NC,"Boone High Country--Watauga, Ashe, Yancey, Avery & Mitchell Counties",17516,0.1335
37,00100,37121,NC,Mitchell NC,"Boone High Country--Watauga, Ashe, Yancey, Avery & Mitchell Counties",15126,0.1153
37,00100,37189,NC,Watauga NC,"Boone High Country--Watauga, Ashe, Yancey, Avery & Mitchell Counties",53922,0.4111
37,00100,37199,NC,Yancey NC,"Boone High Country--Watauga, Ashe, Yancey, Avery & Mitchell Counties",17678,0.1348
37,00200,37005,NC,Alleghany NC,"Wilkesboro High Country--Surry, Wilkes & Alleghany Counties",10848,0.0715
37,00200,37171,NC,Surry NC,"Wilkesboro High Country--Surry, Wilkes & Alleghany Counties",72113,0.4754
37,00200,37193,NC,Wilkes NC,"Wilkesboro High Country--Surry, Wilkes & Alleghany Counties",68740,0.4531
37,00300,37157,NC,Rockingham NC,Rockingham & Stokes Counties,91393,0.6647
37,00300,37169,NC,Stokes NC,Rockingham & Stokes Counties,46097,0.3353
37,00400,37033,NC,Caswell NC,"Granville, Person & Caswell Counties",22910,0.189
37,00400,37077,NC,Granville NC,"Granville, Person & Caswell Counties",59031,0.487
37,00400,37145,NC,Person NC,"Granville, Person & Caswell Counties",39284,0.3241
37,00500,37069,NC,Franklin NC,"Franklin, Vance & Warren (West) Counties",64705,0.526
37,00500,37181,NC,Vance NC,"Franklin, Vance & Warren (West) Counties",44244,0.3597
37,00500,37185,NC,Warren NC,"Franklin, Vance & Warren (West) Counties",14060.7663,0.1143
37,00600,37083,NC,Halifax NC,"Halifax, Hertford, Northampton & Warren (East) Counties",51766,0.5088
37,00600,37091,NC,Hertford NC,"Halifax, Hertford, Northampton & Warren (East) Counties",24136,0.2372
37,00600,37131,NC,Northampton NC,"Halifax, Hertford, Northampton & Warren (East) Counties",20000,0.1966
37,00600,37185,NC,Warren NC,"Halifax, Hertford, Northampton & Warren (East) Counties",5846.2337,0.0575
37,00700,37029,NC,Camden NC,Northeast Albemarle Sound Region,10418,0.0904
37,00700,37041,NC,Chowan NC,Northeast Albemarle Sound Region,14383,0.1248
37,00700,37053,NC,Currituck NC,Northeast Albemarle Sound Region,25809,0.2239
37,00700,37073,NC,Gates NC,Northeast Albemarle Sound Region,11478,0.0996
37,00700,37139,NC,Pasquotank NC,Northeast Albemarle Sound Region,39864,0.3458
37,00700,37143,NC,Perquimans NC,Northeast Albemarle Sound Region,13335,0.1157
37,00800,37015,NC,Bertie NC,South & West Albemarle Sound & Northern Outer Banks Regions,19854,0.1969
37,00800,37055,NC,Dare NC,South & West Albemarle Sound & Northern Outer Banks Regions,35964,0.3566
37,00800,37095,NC,Hyde NC,South & West Albemarle Sound & Northern Outer Banks Regions,5517,0.0547
37,00800,37117,NC,Martin NC,South & West Albemarle Sound & Northern Outer Banks Regions,23172,0.2298
37,00800,37177,NC,Tyrrell NC,South & West Albemarle Sound & Northern Outer Banks Regions,4141,0.0411
37,00800,37187,NC,Washington NC,South & West Albemarle Sound & Northern Outer Banks Regions,12195,0.1209
37,00900,37065,NC,Edgecombe NC,Nash & Edgecombe Counties--Rocky Mount City,53318,0.3619
37,00900,37127,NC,Nash NC,Nash & Edgecombe Counties--Rocky Mount City,94005,0.6381
37,01000,37079,NC,Greene NC,Wilson & Greene Counties--Wilson City,21168,0.2059
37,01000,37195,NC,Wilson NC,Wilson & Greene Counties--Wilson City,81661,0.7941
37,01100,37101,NC,Johnston NC,Johnston County,191450,1
37,01201,37183,NC,Wake NC,Raleigh City (South & Central),153994.4926,1
37,01202,37183,NC,Wake NC,Raleigh City (North),146456.6094,1
37,01203,37183,NC,Wake NC,"Wake County (Northeast)--Raleigh City (Northeast), Wake Forest & Rolesville Towns",117595.8577,1
37,01204,37183,NC,Wake NC,"Wake County (East)--Raleigh City (East), Knightdale & Garner (North) Towns",126968.2535,1
37,01205,37183,NC,Wake NC,Wake County (Southeast)--Garner (South) & Fuquay-Varina Towns,119827.7125,1
37,01206,37183,NC,Wake NC,Wake County (Northwest)--Raleigh City (Northwest) & Morrisville Town,119541.905,1
37,01207,37183,NC,Wake NC,Wake County (West Central)--Cary Town,145544.5813,1
37,01208,37183,NC,Wake NC,Wake County (Southwest)--Apex & Holly Springs Towns,116861.588,1
37,01301,37063,NC,Durham NC,Durham County (South)--Durham City (South),161501.4913,1
37,01302,37063,NC,Durham NC,Durham County (North)--Durham City (North),144710.5087,1
37,01400,37135,NC,Orange NC,Orange County--Chapel Hill Town,141796,1
37,01500,37037,NC,Chatham NC,Chatham & Lee Counties,72243,0.5479
37,01500,37105,NC,Lee NC,Chatham & Lee Counties,59616,0.4521
37,01600,37001,NC,Alamance NC,Alamance County--Burlington City,159688,1
37,01701,37081,NC,Guilford NC,Greensboro City (North),139949.3406,1
37,01702,37081,NC,Guilford NC,Greensboro City (South),117048.0348,1
37,01703,37081,NC,Guilford NC,Guilford County (North)--Summerfield Town,122315.7087,1
37,01704,37081,NC,Guilford NC,Guilford County (South)--High Point City,142016.9159,1
37,01801,37067,NC,Forsyth NC,Winston-Salem City (North),111388.6747,1
37,01802,37067,NC,Forsyth NC,Winston-Salem City (South),126356.3292,1
37,01803,37067,NC,Forsyth NC,Forsyth County (Outside Winston-Salem City)--Kernersville Town & Clemmons Village,133765.9962,1
37,01900,37059,NC,Davie NC,"Davie, Yadkin & Iredell (North) Counties",42013,0.3939
37,01900,37097,NC,Iredell NC,"Davie, Yadkin & Iredell (North) Counties",27110.2771,0.2542
37,01900,37197,NC,Yadkin NC,"Davie, Yadkin & Iredell (North) Counties",37532,0.3519
37,02000,37003,NC,Alexander NC,Caldwell & Alexander Counties,37428,0.3148
37,02000,37027,NC,Caldwell NC,Caldwell & Alexander Counties,81449,0.6852
37,02100,37023,NC,Burke NC,Burke & McDowell Counties,88851,0.6634
37,02100,37111,NC,McDowell NC,Burke & McDowell Counties,45075,0.3366
